ID,hh_id,home_lon,home_lat,home_in_region,home_bg_2010,home_bg_2020,home_county,home_state,home_puma_2010,home_puma_2020,sample_home_lon,sample_home_lat,sample_home_bg,sample_segment,participation_group,num_days_complete_weekday,num_days_complete_weekend,num_complete_mon,num_complete_tue,num_complete_wed,num_complete_thu,num_complete_fri,num_complete_sat,num_complete_sun,num_people,num_adults,num_kids,num_students,num_workers,num_vehicles,num_bicycles,income_detailed,income_followup,res_type,residence_rent_own,bicycle_type_1,bicycle_type_2,bicycle_type_997,hh_weight,MGRA
2756,22117995,-117.05828,32.55983,1,60730100122,60730100123,6073,6,7322,7322,<Null>,<Null>,<Null>,7,1,1,0,0,0,1,0,0,0,0,2,2,0,0,1,2,1,6,995,1,1,1,0,0,706.346591,9264
1596,22073199,-117.04588,32.54736,1,60730100091,60730100091,6073,6,7322,7322,-117.045277,32.5472,60730100091,3,5,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,995,4,2,995,995,995,283.742549,9272
1451,22065610,-117.05097,32.54733,1,60730100092,60730100092,6073,6,7322,7322,-117.051309,32.547535,60730100092,3,1,1,0,0,0,0,1,0,0,0,6,6,0,2,1,3,2,5,995,1,1,1,0,0,292.881636,9273
2566,22117499,-117.03944,32.561,1,60730100151,60730100152,6073,6,7322,7322,<Null>,<Null>,<Null>,5,1,1,0,0,0,0,1,0,0,0,3,3,0,0,1,0,0,999,999,8,2,995,995,995,2598.217111,9290
1516,22069334,-117.03239,32.56557,1,60730100151,60730100151,6073,6,7322,7322,-117.032352,32.565788,60730100151,3,7,1,0,0,1,0,0,0,0,0,6,3,3,0,3,2,3,6,995,1,1,1,0,0,302.543793,9447
1673,22076919,-117.02052,32.56919,1,60730100142,60730100172,6073,6,7322,7322,-116.934036,32.556085,60730100151,3,9,5,2,1,1,1,1,1,1,1,1,1,0,0,1,1,1,6,995,2,1,1,0,0,7.210022,9454
1001,22044971,-117.02005,32.57125,1,60730100142,60730100172,6073,6,7322,7322,-117.020988,32.570975,60730100142,1,1,1,0,0,1,0,0,0,0,0,2,2,0,1,2,2,0,5,995,2,1,995,995,995,185.532121,9455
1378,22061865,-117.0766,32.60749,1,60730132061,60730132062,6073,6,7321,7321,-117.076938,32.607651,60730132061,3,9,5,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,995,5,2,995,995,995,17.741064,9474
1664,22076573,-117.07598,32.6048,1,60730132061,60730132062,6073,6,7321,7321,-117.076062,32.604134,60730132061,3,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,4,995,5,2,995,995,995,7.321069,9475
2780,22118063,-117.02877,32.58214,1,60730100142,60730100171,6073,6,7322,7322,<Null>,<Null>,<Null>,7,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,999,999,1,999,995,995,995,14.435984,9483
2424,22112929,-116.99892,32.60103,1,60730133131,60730133173,6073,6,7320,7320,-116.988703,32.614982,60730133131,4,1,1,0,0,1,0,0,0,0,0,2,2,0,0,2,2,0,7,995,5,2,995,995,995,127.260934,9505
2013,22094635,-116.99431,32.60551,1,60730133131,60730133173,6073,6,7320,7320,-116.985956,32.614781,60730133131,4,1,1,0,0,0,0,1,0,0,0,1,1,0,0,1,2,0,999,5,1,1,995,995,995,214.739267,9515
1656,22076256,-117.03202,32.6003,1,60730133121,60730133122,6073,6,7320,7320,-117.031166,32.599972,60730133121,3,9,5,2,1,1,1,1,1,1,1,3,3,0,0,2,1,0,4,995,5,2,995,995,995,14.587897,9533
2662,22117738,-117.01492,32.61644,1,60730133102,60730133261,6073,6,7320,7320,<Null>,<Null>,<Null>,5,3,1,0,0,0,0,1,0,0,0,3,2,1,0,1,2,3,999,5,1,1,1,0,0,17397.31532,9536
2077,22097934,-117.00093,32.62387,1,60730133101,60730133221,6073,6,7320,7320,-116.999489,32.624538,60730133101,4,1,1,0,0,1,0,0,0,0,0,1,1,0,0,1,1,0,5,995,4,2,995,995,995,6.735188,9546
2428,22113142,-116.99519,32.62485,1,60730133101,60730133222,6073,6,7320,7320,-116.994842,32.626567,60730133101,4,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,999,999,5,999,995,995,995,184.18844,9547
2141,22100372,-116.9926,32.63282,1,60730133101,60730133223,6073,6,7320,7320,-116.992999,32.6328,60730133101,4,1,1,0,0,1,0,0,0,0,0,3,3,0,1,2,4,0,9,995,1,1,995,995,995,34.101644,9550
356,22016230,-116.98385,32.63651,1,60730133102,60730133232,6073,6,7320,7320,-116.984082,32.636678,60730133102,1,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0,2,0,3,995,1,1,995,995,995,553.088908,9554
885,22040432,-116.98531,32.63604,1,60730133102,60730133232,6073,6,7320,7320,-116.984731,32.636465,60730133102,1,1,1,0,0,1,0,0,0,0,0,4,4,0,1,3,2,3,999,999,1,1,1,0,0,535.19679,9554
985,22044508,-116.98678,32.63134,1,60730133102,60730133241,6073,6,7320,7320,-116.98553,32.631305,60730133102,1,1,1,0,0,0,1,0,0,0,0,1,1,0,0,1,1,0,5,995,5,2,995,995,995,493.106042,9561
1002,22045004,-117.00128,32.61984,1,60730133102,60730133251,6073,6,7320,7320,-117.001092,32.61994,60730133102,1,1,1,0,0,0,1,0,0,0,0,3,3,0,0,3,2,0,7,995,1,1,995,995,995,283.638654,9562
2620,22117629,-117.05967,32.5783,1,60730100101,60730100101,6073,6,7322,7322,<Null>,<Null>,<Null>,5,1,1,0,0,1,0,0,0,0,0,2,2,0,0,2,2,0,5,995,3,1,995,995,995,247.058907,9564
2194,22102375,-117.06174,32.58109,1,60730100101,60730100101,6073,6,7322,7322,-117.062011,32.581501,60730100101,4,1,1,0,0,1,0,0,0,0,0,5,5,0,2,2,2,2,5,995,2,1,1,0,0,280.739511,9565
709,22032764,-117.07299,32.58728,1,60730101071,60730101071,6073,6,7322,7322,-117.073205,32.587037,60730101071,1,1,1,0,0,1,0,0,0,0,0,2,2,0,1,1,2,1,4,995,1,1,1,0,0,538.007499,9569
271,22011811,-117.04029,32.59448,1,60730133081,60730133081,6073,6,7321,7321,-117.041949,32.591817,60730133081,1,1,1,0,0,0,0,1,0,0,0,2,2,0,0,2,1,3,8,995,2,1,1,0,0,503.155942,9584
945,22042953,-116.96141,32.6137,1,60730133141,60730133192,6073,6,7320,7320,-116.961077,32.614217,60730133141,1,9,1,0,0,1,0,0,0,0,0,3,2,1,0,2,2,0,10,995,2,1,995,995,995,23.40602,9646
2001,22093525,-116.96141,32.64487,1,60730133113,60730133152,6073,6,7320,7320,-116.961432,32.645098,60730133113,4,1,1,0,0,1,0,0,0,0,0,2,2,0,0,1,2,3,999,999,1,1,1,1,0,39.156925,9698
2036,22095944,-116.96342,32.64824,1,60730133112,60730133151,6073,6,7320,7320,-116.963263,32.648258,60730133112,4,3,5,2,1,1,1,1,1,1,1,1,1,0,0,0,1,0,5,995,2,1,995,995,995,282.835689,9702
2330,22109016,-116.96396,32.6464,1,60730133112,60730133151,6073,6,7320,7320,-116.964078,32.645997,60730133112,4,1,1,0,0,1,0,0,0,0,0,2,2,0,0,2,3,0,8,995,4,1,995,995,995,242.582598,9702
2513,22116729,-116.95485,32.64501,1,60730133112,60730133151,6073,6,7320,7320,-116.954781,32.644873,60730133112,4,9,4,2,0,1,1,1,1,1,1,1,1,0,0,0,1,0,5,995,2,1,995,995,995,269.288709,9703
241,22010591,-116.95358,32.63286,1,60730133114,60730133163,6073,6,7320,7320,-116.953415,32.632757,60730133114,1,1,1,0,0,1,0,0,0,0,0,3,3,0,0,3,3,0,7,995,1,1,995,995,995,568.913815,9705
292,22012810,-116.95109,32.63154,1,60730133111,60730133162,6073,6,7320,7320,-116.950783,32.631533,60730133111,1,3,1,0,0,1,0,0,0,0,0,3,2,1,0,1,2,2,7,995,1,1,1,0,0,922.103227,9707
486,22021807,-116.96111,32.63189,1,60730133111,60730133162,6073,6,7320,7320,-116.960547,32.632007,60730133111,1,1,1,0,0,0,1,0,0,0,0,2,2,0,0,0,2,2,8,995,1,1,1,0,0,48.826607,9710
2332,22109106,-116.96983,32.62625,1,60730133141,60730133192,6073,6,7320,7320,-116.955641,32.646616,60730133112,4,9,5,2,1,1,1,1,1,1,1,1,1,0,0,1,1,0,7,995,4,1,995,995,995,6.555993,9715
2303,22107739,-116.97035,32.62785,1,60730133141,60730133192,6073,6,7320,7320,-116.955641,32.646616,60730133112,4,3,5,2,1,1,1,1,1,1,1,2,2,0,0,1,2,0,4,995,2,1,995,995,995,812.941346,9717
