,veh_make_other,vehicle_model,vehicle_year,weight_class_cvm,vehicle_classification,vehicle_weight
734,Nissan,NV200 CARGO VAN,2016,DA,3,2600
735,Ford,E350,2019,LHD,3,9500
736,Ford,E350,2019,LHD,3,9600
737,Ford,E350,2012,LHD,3,9600
738,Ford,E350,2014,LHD,3,9600
739,Chevrolet,SILVERADO,2021,DA,2,4950
740,Jeep,Compass,2015,DA,1,6900
741,Chevrolet,Traverse,2018,DA,1,6160
742,HONDA,CRV,2014,DA,1,5800
743,Chevrolet,SUBURBAN,2014,DA,1,6800
744,Chevrolet,Blazer,2015,DA,1,6200
745,Nissan,Maxima,2018,DA,1,5980
746,Cadillac,Escalade ESV,2017,DA,1,4900
747,Cadillac,DeVille,2019,DA,1,3900
748,Lincoln,Navigator,2016,DA,1,5870
749,Sprinter (Dodge or Freightliner),Sprinter,2019,LHD,3,8500
750,Chevrolet,SUBURBAN,2018,DA,1,6800
751,Chevrolet,Blazer,2011,DA,1,6600
752,Chevrolet,SILVERADO,2019,DA,2,8700
753,Ford,F350 BOX TRUCK,2011,LHD,5,12000
754,Chevrolet,Malibu,2012,DA,1,3900
755,Ford,Bronco,2018,DA,1,6800
756,Chevrolet,Tahoe,2017,DA,1,5800
757,DODGE,Ram,2016,DA,3,6800
758,DODGE,RAM PROMASTER 1500,2019,DA,3,6800
759,Chevrolet,Suburban,2008,DA,1,5900
760,HONDA,PILOT,2016,DA,1,4260
761,Nissan,Pathfinder,2019,DA,1,4200
762,TOYOTA,Camry,2009,DA,1,3100
763,Nissan,Maxima,2016,DA,1,3390
764,DODGE,Promaster Van,2018,LHD,3,6800
765,TOYOTA,Avalon,2020,DA,1,3420
766,Jeep,WRANGLER,2017,DA,1,4800
767,Freightliner,M 2106,2019,HHD,6,66000
768,Ford,TRANSIT 250,2000,LHD,3,8900
769,Freightliner,m 2106,2012,HHD,6,66000
770,Ford,TRANSIT,2010,LHD,3,6900
771,Ford,ECONOLINE,2008,DA,3,7800
772,Ford,TRANSIT,2016,LHD,3,6900
773,Ford,F250,2017,LHD,2,10000
774,Chevrolet,Blazer,2015,DA,1,6200
775,Ford,Bronco,2009,DA,1,5100
776,DODGE,DURANGO,2014,DA,1,7000
777,Ford,EXPLORER,2019,DA,1,6340
778,Ford,TRANSIT,2017,LHD,3,6800
779,Chevrolet,Traverse,2016,DA,1,6700
780,Ford,Focus,1999,DA,1,4800
781,GMC,Acadia ,2002,DA,1,7000
782,Ford,RANGER,2012,DA,2,7100
783,TOYOTA,TUNDRA,2016,DA,2,7300
784,Ford,F150,2014,DA,2,7010
785,Nissan,Pathfinder,2012,DA,1,6100
786,Ford,FUSION-2,2016,DA,1,3860
787,Ford,F150,2018,DA,2,7010
788,Chevrolet,Tahoe,2018,DA,1,6800
789,Ford,Bronco,2017,DA,1,5700
790,Ford,RANGER,2016,DA,2,7000
791,Chevrolet,Blazer,2019,DA,1,10000
792,Nissan,Pathfinder,2008,DA,1,6800
793,Nissan,Pathfinder,2011,DA,1,6500
794,TOYOTA,Hylander,2008,DA,1,7800
795,Nissan,Pathfinder,2016,DA,1,7000
796,Chevrolet,HHR,2011,DA,1,5800
797,Ford,EDGE,2013,DA,1,6700
798,Ford,Edge,2017,DA,1,6700
799,Ford,EDGE,2015,DA,1,5270
800,Ford,EDGE,2014,DA,1,6700
801,Chevrolet,Blazer,2008,DA,1,5300
802,Ford,EDGE,2014,DA,1,5280
803,Buick,REGAL,2014,DA,1,3692
804,Chevrolet,Malibu,2018,DA,1,4933
805,Chevrolet,HHR,2015,DA,1,4240
806,Chevrolet,HHR,2017,DA,1,4240
807,HONDA,PILOT,2009,DA,1,5600
808,Chevrolet,HHR,2010,DA,1,4240
809,Tesla,Model 3,2018,DA,1,5072
810,Ford,TRANSIT,2016,LHD,3,10360
811,Ford,CUTAWAY,2019,LHD,3,10050
812,Ford,E350 Cut Away,2022,LHD,3,10500
813,Nissan,NV200 CARGO VAN,2015,DA,3,9800
814,DODGE,RAM PRO MASTER,2018,LHD,3,9800
815,Ford,TRANSIT,2015,LHD,3,8900
816,Ford,TRANSIT,2015,LHD,3,10500
817,Ford,Connect ,2022,LHD,3,8500
818,Ford,E350 BOX TRUCK,2010,LHD,5,12000
819,Ford,Cargo Van,2014,DA,3,8000
820,Chevrolet,IMPALA,2015,DA,1,4200
821,Ford,FOCUS,2019,DA,1,3200
